Elev;high_cnr_ub;high_cnr_lb;low_cnr_ub;low_cnr_lb;distance_ub;distance_lb;growth_ub;growth_lb;a_ub;a_lb
-1.5;-5;-30;-25;-35;6750;400;1;0;0;-0.01
-0.2;-5;-30;-25;-35;6750;400;1;0;0;-0.01
